Shippment ID;Shipping Type;Frequency of Purchases
1890;Standard;Every 3 Months
115;Express;Annually
97;Next Day Air;Monthly
480;2-Day Shipping;Annually
3531;2-Day Shipping;Quarterly
574;Standard;Quarterly
1116;Free Shipping;Weekly
3899;Express;Every 3 Months
3020;Store Pickup;Monthly
2736;Store Pickup;Weekly
2609;Free Shipping;Fortnightly
3641;Store Pickup;Weekly
2714;Express;Fortnightly
2357;Express;Annually
3044;Standard;Annually
2209;Free Shipping;Bi-Weekly
3549;Next Day Air;Monthly
327;2-Day Shipping;Annually
1523;Store Pickup;Fortnightly
3315;Next Day Air;Monthly
3084;Standard;Monthly
594;Express;Fortnightly
2772;2-Day Shipping;Monthly
2184;2-Day Shipping;Quarterly
2015;Store Pickup;Monthly
3496;Standard;Fortnightly
1640;2-Day Shipping;Quarterly
245;Next Day Air;Fortnightly
3504;2-Day Shipping;Every 3 Months
882;Store Pickup;Fortnightly
1059;Standard;Every 3 Months
1814;Standard;Monthly
3788;Express;Weekly
460;Free Shipping;Weekly
1948;Next Day Air;Quarterly
1186;Standard;Quarterly
1000;Express;Annually
1901;Store Pickup;Monthly
1011;Express;Bi-Weekly
3110;2-Day Shipping;Monthly
2975;Standard;Bi-Weekly
2527;Store Pickup;Quarterly
214;Store Pickup;Fortnightly
1029;Next Day Air;Bi-Weekly
488;Standard;Monthly
2976;Next Day Air;Bi-Weekly
1109;Express;Monthly
3862;Free Shipping;Weekly
3727;Next Day Air;Weekly
994;Store Pickup;Weekly
451;Next Day Air;Quarterly
3604;2-Day Shipping;Weekly
1817;Express;Fortnightly
1653;Free Shipping;Bi-Weekly
981;Express;Monthly
1888;Standard;Monthly
1361;Free Shipping;Fortnightly
2981;Next Day Air;Monthly
3536;Store Pickup;Weekly
2456;Free Shipping;Quarterly
2259;Store Pickup;Quarterly
206;Store Pickup;Monthly
429;Standard;Weekly
1105;Free Shipping;Monthly
3162;2-Day Shipping;Fortnightly
612;2-Day Shipping;Fortnightly
2818;Store Pickup;Every 3 Months
1233;Next Day Air;Bi-Weekly
2864;Store Pickup;Monthly
3300;Express;Quarterly
1415;Express;Bi-Weekly
3321;2-Day Shipping;Bi-Weekly
1230;Express;Annually
1937;Standard;Fortnightly
1564;2-Day Shipping;Weekly
963;Next Day Air;Bi-Weekly
2019;Free Shipping;Bi-Weekly
1946;Standard;Monthly
1629;Express;Bi-Weekly
1440;Standard;Every 3 Months
309;Store Pickup;Annually
1006;Standard;Monthly
2713;Standard;Annually
286;Free Shipping;Quarterly
3132;Express;Fortnightly
3012;Express;Annually
2240;Standard;Every 3 Months
1507;Standard;Weekly
3375;Standard;Quarterly
18;Store Pickup;Weekly
2662;Store Pickup;Every 3 Months
1771;Free Shipping;Every 3 Months
1873;Next Day Air;Annually
3071;Free Shipping;Annually
3622;Free Shipping;Fortnightly
1304;2-Day Shipping;Every 3 Months
3734;2-Day Shipping;Monthly
1834;Standard;Bi-Weekly
224;Store Pickup;Every 3 Months
37;2-Day Shipping;Fortnightly
1024;Standard;Quarterly
2222;Express;Monthly
562;Next Day Air;Annually
2743;Free Shipping;Every 3 Months
2766;2-Day Shipping;Every 3 Months
313;Standard;Quarterly
3864;Store Pickup;Monthly
2904;Next Day Air;Bi-Weekly
298;Store Pickup;Quarterly
1585;Free Shipping;Every 3 Months
1309;Next Day Air;Bi-Weekly
2524;2-Day Shipping;Bi-Weekly
1040;Standard;Fortnightly
816;Free Shipping;Quarterly
104;Express;Monthly
191;Express;Fortnightly
2905;Store Pickup;Bi-Weekly
1612;Store Pickup;Quarterly
3286;Store Pickup;Every 3 Months
1355;2-Day Shipping;Annually
2730;Free Shipping;Quarterly
446;Standard;Fortnightly
2833;Standard;Weekly
2009;Express;Monthly
2363;Express;Quarterly
3626;Express;Fortnightly
2705;Standard;Annually
952;Standard;Weekly
435;Next Day Air;Fortnightly
1745;Next Day Air;Bi-Weekly
382;Next Day Air;Monthly
352;Express;Every 3 Months
1582;Standard;Every 3 Months
2645;2-Day Shipping;Fortnightly
3792;Express;Quarterly
3272;Next Day Air;Fortnightly
2615;Free Shipping;Annually
2202;Store Pickup;Quarterly
2653;Store Pickup;Fortnightly
2834;Store Pickup;Fortnightly
844;Express;Quarterly
2554;2-Day Shipping;Monthly
826;Next Day Air;Quarterly
2062;2-Day Shipping;Fortnightly
2449;2-Day Shipping;Fortnightly
1496;2-Day Shipping;Quarterly
304;Express;Quarterly
3616;Free Shipping;Weekly
616;Express;Bi-Weekly
2256;2-Day Shipping;Annually
1747;Next Day Air;Every 3 Months
3677;2-Day Shipping;Monthly
20;Express;Weekly
546;Next Day Air;Weekly
1133;Standard;Quarterly
754;Next Day Air;Every 3 Months
2898;Express;Bi-Weekly
1197;2-Day Shipping;Quarterly
1034;2-Day Shipping;Monthly
1148;2-Day Shipping;Bi-Weekly
3068;Free Shipping;Fortnightly
3853;Express;Every 3 Months
3208;Express;Quarterly
2912;2-Day Shipping;Bi-Weekly
950;Store Pickup;Fortnightly
1294;Express;Annually
2530;2-Day Shipping;Quarterly
209;Free Shipping;Every 3 Months
3367;Next Day Air;Bi-Weekly
642;2-Day Shipping;Bi-Weekly
2550;Express;Monthly
610;Store Pickup;Fortnightly
476;Standard;Quarterly
1634;Standard;Bi-Weekly
1657;Next Day Air;Fortnightly
58;Standard;Fortnightly
1106;Next Day Air;Every 3 Months
3481;Store Pickup;Weekly
369;Store Pickup;Fortnightly
2897;Next Day Air;Quarterly
3562;Standard;Quarterly
3843;Store Pickup;Bi-Weekly
3482;Store Pickup;Bi-Weekly
2390;Express;Weekly
1709;Express;Fortnightly
2231;Express;Every 3 Months
2813;Standard;Every 3 Months
1424;2-Day Shipping;Bi-Weekly
1620;Next Day Air;Quarterly
2162;Standard;Monthly
1256;Standard;Monthly
2177;Next Day Air;Annually
1406;Express;Annually
2629;Store Pickup;Monthly
2853;Express;Weekly
1035;Next Day Air;Weekly
3333;Express;Bi-Weekly
1299;Next Day Air;Fortnightly
3203;Next Day Air;Bi-Weekly
2253;Free Shipping;Quarterly
1396;Next Day Air;Bi-Weekly
3638;2-Day Shipping;Monthly
1779;Standard;Weekly
2481;Free Shipping;Fortnightly
597;Express;Quarterly
1001;Free Shipping;Every 3 Months
2197;Store Pickup;Annually
64;Express;Quarterly
362;Standard;Annually
3413;Store Pickup;Annually
3383;Free Shipping;Monthly
845;2-Day Shipping;Annually
2443;2-Day Shipping;Fortnightly
1844;Express;Annually
2880;2-Day Shipping;Weekly
2189;2-Day Shipping;Monthly
146;Standard;Every 3 Months
1467;Store Pickup;Quarterly
2808;Express;Weekly
395;Next Day Air;Quarterly
3053;Store Pickup;Annually
72;Standard;Quarterly
2290;Standard;Monthly
1012;2-Day Shipping;Monthly
121;Free Shipping;Bi-Weekly
1952;Store Pickup;Fortnightly
2941;2-Day Shipping;Fortnightly
2012;Store Pickup;Monthly
1627;Free Shipping;Quarterly
1695;Express;Monthly
2183;Store Pickup;Quarterly
428;Next Day Air;Weekly
523;Next Day Air;Every 3 Months
1493;Free Shipping;Fortnightly
39;Express;Monthly
2353;Free Shipping;Bi-Weekly
3130;Free Shipping;Annually
1583;Next Day Air;Weekly
1412;Next Day Air;Quarterly
2780;Free Shipping;Bi-Weekly
2046;Standard;Bi-Weekly
1923;Free Shipping;Every 3 Months
2143;Store Pickup;Fortnightly
3274;Standard;Quarterly
3278;Free Shipping;Weekly
2852;2-Day Shipping;Every 3 Months
1552;Standard;Weekly
2211;Standard;Annually
2824;Free Shipping;Every 3 Months
2862;Free Shipping;Monthly
257;Next Day Air;Quarterly
381;Next Day Air;Weekly
542;Store Pickup;Annually
1956;Standard;Annually
2682;Store Pickup;Fortnightly
2098;Free Shipping;Annually
2330;Next Day Air;Weekly
3717;2-Day Shipping;Quarterly
3814;Express;Annually
3323;Free Shipping;Fortnightly
1641;Next Day Air;Bi-Weekly
425;Store Pickup;Monthly
1444;Store Pickup;Weekly
1240;Free Shipping;Weekly
1454;Free Shipping;Bi-Weekly
183;Standard;Every 3 Months
903;Standard;Quarterly
1354;Express;Quarterly
3361;Free Shipping;Every 3 Months
2877;Store Pickup;Every 3 Months
1949;Free Shipping;Annually
66;2-Day Shipping;Fortnightly
2846;Store Pickup;Every 3 Months
348;Standard;Annually
3511;Store Pickup;Bi-Weekly
1338;Express;Bi-Weekly
2298;Free Shipping;Annually
743;2-Day Shipping;Quarterly
496;Store Pickup;Bi-Weekly
489;Next Day Air;Quarterly
2480;2-Day Shipping;Monthly
1180;Express;Weekly
3293;Express;Bi-Weekly
638;Next Day Air;Quarterly
2005;Store Pickup;Quarterly
2933;Express;Monthly
1929;2-Day Shipping;Weekly
296;2-Day Shipping;Weekly
3627;Store Pickup;Every 3 Months
1487;Free Shipping;Annually
1141;Express;Fortnightly
2295;2-Day Shipping;Weekly
364;Standard;Annually
1522;Standard;Fortnightly
1992;Next Day Air;Every 3 Months
3609;Standard;Fortnightly
701;2-Day Shipping;Every 3 Months
2670;Next Day Air;Quarterly
2717;Free Shipping;Weekly
437;Standard;Fortnightly
3679;2-Day Shipping;Annually
1659;Next Day Air;Quarterly
1995;Next Day Air;Bi-Weekly
1619;Free Shipping;Quarterly
3198;Standard;Annually
835;Standard;Every 3 Months
3870;Standard;Fortnightly
1173;2-Day Shipping;Bi-Weekly
1894;Standard;Weekly
3581;2-Day Shipping;Weekly
415;2-Day Shipping;Monthly
2230;Next Day Air;Bi-Weekly
1350;Free Shipping;Annually
1379;Store Pickup;Every 3 Months
1431;Store Pickup;Monthly
3718;Next Day Air;Bi-Weekly
3016;Next Day Air;Fortnightly
3789;Standard;Fortnightly
947;Free Shipping;Annually
1181;Express;Annually
824;Express;Fortnightly
1670;Free Shipping;Weekly
1551;Express;Monthly
2498;Next Day Air;Bi-Weekly
2574;Express;Every 3 Months
1182;Express;Bi-Weekly
3324;Standard;Fortnightly
1345;Next Day Air;Quarterly
3164;Next Day Air;Bi-Weekly
731;Next Day Air;Every 3 Months
919;Store Pickup;Fortnightly
2514;Store Pickup;Fortnightly
472;2-Day Shipping;Quarterly
2525;Store Pickup;Annually
1856;Free Shipping;Fortnightly
1586;2-Day Shipping;Quarterly
647;Express;Bi-Weekly
137;Standard;Annually
2867;Next Day Air;Monthly
2408;Store Pickup;Quarterly
695;Free Shipping;Bi-Weekly
1469;Store Pickup;Bi-Weekly
81;Store Pickup;Monthly
946;Free Shipping;Every 3 Months
2748;Express;Every 3 Months
1385;Next Day Air;Every 3 Months
2674;Free Shipping;Annually
2205;Next Day Air;Weekly
3172;Express;Bi-Weekly
148;Express;Annually
554;Next Day Air;Bi-Weekly
746;Next Day Air;Monthly
914;Express;Monthly
426;Standard;Quarterly
2372;Next Day Air;Monthly
2294;Next Day Air;Weekly
596;2-Day Shipping;Monthly
3891;Free Shipping;Monthly
3683;Store Pickup;Monthly
3452;Next Day Air;Every 3 Months
1965;2-Day Shipping;Annually
1593;Next Day Air;Weekly
2837;Free Shipping;Quarterly
2696;2-Day Shipping;Monthly
697;Express;Weekly
726;Store Pickup;Fortnightly
817;Next Day Air;Annually
2667;2-Day Shipping;Monthly
1362;2-Day Shipping;Quarterly
1918;Store Pickup;Fortnightly
3637;Free Shipping;Every 3 Months
933;Next Day Air;Quarterly
2694;Express;Quarterly
2187;Standard;Weekly
1744;Express;Fortnightly
2612;Store Pickup;Bi-Weekly
1097;Store Pickup;Fortnightly
2226;Store Pickup;Quarterly
954;Store Pickup;Fortnightly
2775;Store Pickup;Annually
2809;Free Shipping;Annually
2038;Store Pickup;Weekly
2781;Next Day Air;Quarterly
1792;Standard;Quarterly
1500;Free Shipping;Annually
31;Store Pickup;Annually
3122;Next Day Air;Fortnightly
3794;Free Shipping;Weekly
2352;Express;Monthly
155;Express;Fortnightly
1311;Store Pickup;Weekly
2754;Store Pickup;Fortnightly
184;Express;Monthly
1420;Express;Weekly
853;2-Day Shipping;Annually
117;Standard;Fortnightly
2499;Next Day Air;Every 3 Months
281;Standard;Weekly
1317;2-Day Shipping;Every 3 Months
1874;Next Day Air;Every 3 Months
2302;Free Shipping;Bi-Weekly
1326;Next Day Air;Bi-Weekly
1756;2-Day Shipping;Annually
1441;2-Day Shipping;Annually
1318;Free Shipping;Fortnightly
1405;Store Pickup;Every 3 Months
1711;Next Day Air;Annually
2893;Free Shipping;Fortnightly
1481;Next Day Air;Weekly
925;Store Pickup;Weekly
260;Free Shipping;Monthly
2467;Express;Annually
1154;Store Pickup;Monthly
2648;Store Pickup;Every 3 Months
1091;Store Pickup;Quarterly
3685;Standard;Quarterly
2886;Standard;Annually
3673;Store Pickup;Every 3 Months
3519;Free Shipping;Annually
1418;Express;Quarterly
590;Standard;Fortnightly
2479;2-Day Shipping;Monthly
2181;Store Pickup;Quarterly
1790;2-Day Shipping;Monthly
1121;Store Pickup;Quarterly
2812;Store Pickup;Weekly
3459;Express;Weekly
3435;2-Day Shipping;Monthly
1909;Store Pickup;Annually
2292;Express;Weekly
1822;Free Shipping;Quarterly
365;Standard;Monthly
1009;Express;Bi-Weekly
1033;Next Day Air;Fortnightly
1283;Standard;Weekly
583;2-Day Shipping;Weekly
3646;Next Day Air;Quarterly
159;Store Pickup;Every 3 Months
3148;Free Shipping;Quarterly
3126;Standard;Fortnightly
2815;Store Pickup;Annually
2394;2-Day Shipping;Annually
2004;Free Shipping;Fortnightly
2587;Express;Annually
3158;2-Day Shipping;Every 3 Months
263;Store Pickup;Quarterly
422;Store Pickup;Annually
2594;Next Day Air;Weekly
1060;Free Shipping;Weekly
3002;Standard;Quarterly
1417;2-Day Shipping;Quarterly
846;Next Day Air;Monthly
3572;Express;Every 3 Months
3812;Express;Annually
2473;2-Day Shipping;Quarterly
1018;Next Day Air;Every 3 Months
479;Standard;Quarterly
1022;2-Day Shipping;Every 3 Months
2870;Store Pickup;Every 3 Months
2137;2-Day Shipping;Monthly
2052;Next Day Air;Annually
823;Store Pickup;Monthly
1843;2-Day Shipping;Fortnightly
2017;Free Shipping;Fortnightly
265;Free Shipping;Weekly
1199;Standard;Bi-Weekly
1665;Next Day Air;Annually
1068;2-Day Shipping;Quarterly
803;2-Day Shipping;Quarterly
3746;Standard;Monthly
1597;2-Day Shipping;Every 3 Months
1363;Free Shipping;Every 3 Months
1974;Next Day Air;Fortnightly
3495;Express;Every 3 Months
711;2-Day Shipping;Quarterly
3585;Standard;Annually
880;Next Day Air;Monthly
1330;Store Pickup;Annually
2206;Free Shipping;Monthly
3436;Free Shipping;Every 3 Months
3587;Next Day Air;Fortnightly
871;Store Pickup;Fortnightly
3356;Express;Monthly
3776;Free Shipping;Annually
2073;2-Day Shipping;Weekly
1838;Standard;Annually
3269;2-Day Shipping;Bi-Weekly
3602;Express;Bi-Weekly
3431;Free Shipping;Annually
484;Store Pickup;Every 3 Months
1433;2-Day Shipping;Bi-Weekly
3463;Store Pickup;Monthly
3748;Next Day Air;Every 3 Months
2326;Standard;Monthly
2252;Store Pickup;Fortnightly
1446;Free Shipping;Weekly
617;Store Pickup;Annually
555;Express;Quarterly
2539;Next Day Air;Quarterly
2586;Standard;Fortnightly
2114;Express;Every 3 Months
1784;Standard;Fortnightly
2973;2-Day Shipping;Monthly
3542;Express;Bi-Weekly
1729;Express;Every 3 Months
2167;Standard;Fortnightly
1155;Express;Every 3 Months
1658;Next Day Air;Every 3 Months
3064;Standard;Every 3 Months
1378;Free Shipping;Annually
1291;Store Pickup;Bi-Weekly
507;Store Pickup;Quarterly
377;Standard;Every 3 Months
466;Next Day Air;Monthly
2995;Next Day Air;Monthly
1479;Free Shipping;Quarterly
3317;2-Day Shipping;Bi-Weekly
253;Standard;Quarterly
1002;2-Day Shipping;Every 3 Months
1049;2-Day Shipping;Every 3 Months
3350;2-Day Shipping;Every 3 Months
1327;Standard;Monthly
1428;Express;Bi-Weekly
2666;Free Shipping;Quarterly
396;Next Day Air;Monthly
3835;Express;Fortnightly
2054;Standard;Bi-Weekly
511;Standard;Every 3 Months
2277;Standard;Monthly
2383;Store Pickup;Weekly
299;Next Day Air;Annually
2734;Express;Fortnightly
2309;Express;Every 3 Months
230;Standard;Monthly
1488;Next Day Air;Quarterly
278;Express;Weekly
927;Next Day Air;Annually
1599;Store Pickup;Bi-Weekly
2074;2-Day Shipping;Monthly
1942;Next Day Air;Fortnightly
166;Free Shipping;Annually
3517;Express;Weekly
3595;2-Day Shipping;Annually
3197;2-Day Shipping;Quarterly
1990;Express;Weekly
2789;Standard;Monthly
1129;2-Day Shipping;Monthly
2631;Store Pickup;Annually
1036;Store Pickup;Every 3 Months
2529;Express;Fortnightly
707;Next Day Air;Quarterly
2680;2-Day Shipping;Annually
3623;2-Day Shipping;Every 3 Months
102;2-Day Shipping;Fortnightly
2113;2-Day Shipping;Bi-Weekly
2635;2-Day Shipping;Weekly
676;Store Pickup;Monthly
2276;Free Shipping;Fortnightly
1748;Store Pickup;Monthly
2596;Next Day Air;Bi-Weekly
696;Standard;Bi-Weekly
2129;Free Shipping;Weekly
30;Standard;Weekly
646;2-Day Shipping;Bi-Weekly
3837;Standard;Quarterly
321;Standard;Weekly
3023;Express;Bi-Weekly
3303;Next Day Air;Every 3 Months
1400;Store Pickup;Every 3 Months
932;Free Shipping;Monthly
328;Free Shipping;Every 3 Months
1508;2-Day Shipping;Bi-Weekly
702;2-Day Shipping;Weekly
3408;Next Day Air;Bi-Weekly
2242;Standard;Weekly
1524;Next Day Air;Every 3 Months
1098;Standard;Fortnightly
3782;Next Day Air;Every 3 Months
1016;Next Day Air;Every 3 Months
688;Free Shipping;Annually
3643;Standard;Every 3 Months
3359;Store Pickup;Weekly
3232;Free Shipping;Every 3 Months
3815;Next Day Air;Bi-Weekly
3279;2-Day Shipping;Quarterly
3159;Free Shipping;Every 3 Months
3844;Standard;Quarterly
3230;Next Day Air;Annually
3089;Standard;Fortnightly
2737;Express;Quarterly
3721;Express;Every 3 Months
896;Store Pickup;Monthly
777;Standard;Bi-Weekly
3781;Store Pickup;Monthly
3024;Free Shipping;Bi-Weekly
2381;Store Pickup;Quarterly
3273;Store Pickup;Weekly
2636;Express;Weekly
258;Standard;Annually
2821;Standard;Annually
345;Free Shipping;Monthly
800;Free Shipping;Bi-Weekly
413;2-Day Shipping;Bi-Weekly
2570;Express;Bi-Weekly
3577;Store Pickup;Weekly
54;2-Day Shipping;Monthly
804;Store Pickup;Fortnightly
3528;Free Shipping;Bi-Weekly
672;Express;Fortnightly
2136;Standard;Quarterly
2863;Store Pickup;Monthly
744;Express;Every 3 Months
3219;Store Pickup;Annually
3254;Express;Annually
2026;Express;Every 3 Months
3057;2-Day Shipping;Monthly
3771;2-Day Shipping;Quarterly
1548;Free Shipping;Weekly
1408;2-Day Shipping;Weekly
244;Store Pickup;Annually
1220;Next Day Air;Weekly
1782;Standard;Bi-Weekly
35;Standard;Bi-Weekly
3838;Express;Bi-Weekly
2218;Free Shipping;Weekly
1204;Express;Annually
838;Express;Annually
1470;2-Day Shipping;Weekly
3392;Standard;Annually
293;Next Day Air;Fortnightly
3180;Store Pickup;Annually
1971;Standard;Annually
218;Next Day Air;Quarterly
2241;Store Pickup;Quarterly
1402;Next Day Air;Monthly
1231;Next Day Air;Monthly
3767;2-Day Shipping;Weekly
2159;2-Day Shipping;Every 3 Months
913;Standard;Every 3 Months
2446;Next Day Air;Fortnightly
572;Free Shipping;Weekly
1525;Next Day Air;Every 3 Months
1243;Standard;Monthly
3079;2-Day Shipping;Every 3 Months
2939;2-Day Shipping;Annually
1394;Store Pickup;Fortnightly
2099;Next Day Air;Bi-Weekly
3485;Express;Monthly
3209;Express;Quarterly
2604;Free Shipping;Every 3 Months
443;Express;Monthly
2035;Next Day Air;Bi-Weekly
2153;2-Day Shipping;Every 3 Months
2610;Store Pickup;Annually
3662;Free Shipping;Every 3 Months
202;Store Pickup;Weekly
1021;Standard;Annually
860;Next Day Air;Fortnightly
400;Next Day Air;Quarterly
2397;Store Pickup;Bi-Weekly
123;Free Shipping;Bi-Weekly
3597;Standard;Every 3 Months
3449;Store Pickup;Bi-Weekly
3115;Store Pickup;Bi-Weekly
753;Express;Quarterly
1573;Free Shipping;Annually
2459;Store Pickup;Every 3 Months
649;2-Day Shipping;Bi-Weekly
1532;Free Shipping;Quarterly
1185;Standard;Weekly
1526;Store Pickup;Quarterly
3105;Free Shipping;Monthly
13;2-Day Shipping;Annually
1052;Free Shipping;Bi-Weekly
1824;2-Day Shipping;Monthly
231;Standard;Quarterly
582;Standard;Annually
2804;Store Pickup;Annually
1212;Standard;Quarterly
1700;Next Day Air;Every 3 Months
822;Standard;Every 3 Months
1102;2-Day Shipping;Weekly
764;Express;Annually
3192;Express;Quarterly
671;Standard;Weekly
3575;Express;Bi-Weekly
61;Express;Every 3 Months
2447;2-Day Shipping;Monthly
2224;Next Day Air;Monthly
15;Free Shipping;Weekly
2199;Free Shipping;Every 3 Months
3709;Next Day Air;Weekly
2690;Standard;Bi-Weekly
3557;Free Shipping;Weekly
236;Express;Fortnightly
1272;Express;Every 3 Months
3784;2-Day Shipping;Fortnightly
1051;Next Day Air;Bi-Weekly
683;Next Day Air;Bi-Weekly
2795;Free Shipping;Quarterly
1206;Next Day Air;Every 3 Months
1939;Express;Annually
3520;Next Day Air;Bi-Weekly
2961;Next Day Air;Quarterly
3873;Free Shipping;Annually
354;Express;Quarterly
483;2-Day Shipping;Weekly
3109;Standard;Monthly
2903;Standard;Every 3 Months
2729;Store Pickup;Fortnightly
818;Next Day Air;Annually
161;2-Day Shipping;Annually
2070;Store Pickup;Every 3 Months
1998;Store Pickup;Bi-Weekly
3112;Standard;Weekly
1842;Standard;Quarterly
158;Standard;Fortnightly
3400;Express;Fortnightly
2232;Free Shipping;Every 3 Months
1464;Next Day Air;Bi-Weekly
911;Free Shipping;Quarterly
32;Standard;Fortnightly
1651;Standard;Every 3 Months
3041;2-Day Shipping;Weekly
3027;Store Pickup;Quarterly
2547;Standard;Quarterly
1642;Store Pickup;Fortnightly
3049;Express;Fortnightly
3790;Free Shipping;Bi-Weekly
3091;Store Pickup;Fortnightly
2380;Standard;Fortnightly
3117;Next Day Air;Quarterly
8;Store Pickup;Annually
1833;2-Day Shipping;Fortnightly
1600;Express;Annually
1865;Free Shipping;Quarterly
3088;Next Day Air;Monthly
3175;Free Shipping;Quarterly
3017;Express;Weekly
3559;Store Pickup;Quarterly
1205;Express;Monthly
2065;2-Day Shipping;Every 3 Months
792;Next Day Air;Weekly
1807;Store Pickup;Bi-Weekly
478;Free Shipping;Weekly
544;Express;Every 3 Months
621;Express;Every 3 Months
1495;Free Shipping;Bi-Weekly
346;2-Day Shipping;Annually
747;Free Shipping;Annually
3076;Express;Quarterly
1110;Store Pickup;Quarterly
2172;Store Pickup;Every 3 Months
2985;Free Shipping;Every 3 Months
2233;Free Shipping;Bi-Weekly
378;Next Day Air;Monthly
401;Store Pickup;Bi-Weekly
1297;Express;Annually
1316;Express;Monthly
2346;Express;Bi-Weekly
1938;Store Pickup;Monthly
867;Free Shipping;Quarterly
3267;2-Day Shipping;Annually
3233;Store Pickup;Weekly
2491;2-Day Shipping;Fortnightly
2327;Standard;Bi-Weekly
1308;Express;Every 3 Months
3513;2-Day Shipping;Fortnightly
2453;Store Pickup;Bi-Weekly
625;Express;Quarterly
2620;2-Day Shipping;Fortnightly
2304;Next Day Air;Quarterly
1607;Express;Monthly
3753;Express;Fortnightly
892;2-Day Shipping;Quarterly
208;Express;Annually
7;Standard;Annually
1337;Express;Monthly
969;Free Shipping;Weekly
1410;Standard;Annually
3433;Express;Annually
452;2-Day Shipping;Annually
3610;Next Day Air;Annually
1041;Standard;Annually
194;Standard;Weekly
2246;Express;Every 3 Months
1342;Next Day Air;Quarterly
545;Next Day Air;Bi-Weekly
769;Free Shipping;Annually
3405;Free Shipping;Quarterly
19;Express;Weekly
1721;Next Day Air;Annually
2982;Next Day Air;Fortnightly
3386;Store Pickup;Every 3 Months
891;2-Day Shipping;Fortnightly
1434;Store Pickup;Annually
3149;Store Pickup;Annually
796;Store Pickup;Annually
436;Free Shipping;Quarterly
1076;Store Pickup;Bi-Weekly
3302;Next Day Air;Every 3 Months
529;Store Pickup;Annually
2858;Next Day Air;Monthly
223;Standard;Every 3 Months
2417;Store Pickup;Bi-Weekly
1788;Next Day Air;Every 3 Months
3593;2-Day Shipping;Annually
1421;Next Day Air;Bi-Weekly
1935;Store Pickup;Fortnightly
2422;Standard;Every 3 Months
538;Store Pickup;Quarterly
1714;2-Day Shipping;Monthly
3263;Express;Every 3 Months
1090;Next Day Air;Annually
2341;Standard;Fortnightly
1646;Express;Fortnightly
1388;Express;Fortnightly
3063;Next Day Air;Monthly
2706;2-Day Shipping;Fortnightly
514;Express;Annually
3765;Express;Annually
2142;2-Day Shipping;Fortnightly
1477;Free Shipping;Annually
277;Store Pickup;Weekly
2651;Store Pickup;Weekly
588;Store Pickup;Fortnightly
2738;Free Shipping;Fortnightly
863;Next Day Air;Quarterly
1542;Free Shipping;Weekly
462;Express;Bi-Weekly
2262;2-Day Shipping;Every 3 Months
1953;Standard;Annually
2930;2-Day Shipping;Monthly
3571;Express;Every 3 Months
3710;Free Shipping;Bi-Weekly
3897;Free Shipping;Fortnightly
2503;Next Day Air;Every 3 Months
11;2-Day Shipping;Bi-Weekly
658;Express;Quarterly
1980;Next Day Air;Annually
2217;Standard;Monthly
3756;2-Day Shipping;Every 3 Months
3210;Next Day Air;Fortnightly
2879;Free Shipping;Bi-Weekly
2512;Express;Quarterly
3422;2-Day Shipping;Fortnightly
760;2-Day Shipping;Bi-Weekly
3029;2-Day Shipping;Every 3 Months
535;Standard;Quarterly
195;Free Shipping;Weekly
1797;2-Day Shipping;Monthly
2958;Free Shipping;Every 3 Months
410;Standard;Quarterly
901;Express;Every 3 Months
2814;Standard;Bi-Weekly
847;Free Shipping;Monthly
234;Standard;Quarterly
2336;Store Pickup;Quarterly
3640;2-Day Shipping;Annually
3510;Standard;Weekly
1730;Store Pickup;Fortnightly
2617;Next Day Air;Fortnightly
3532;Free Shipping;Weekly
739;Next Day Air;Weekly
3501;Store Pickup;Bi-Weekly
894;Express;Quarterly
641;Standard;Weekly
2700;Store Pickup;Weekly
3652;Standard;Bi-Weekly
2337;Standard;Fortnightly
323;Standard;Monthly
399;Standard;Quarterly
3798;2-Day Shipping;Annually
1194;Store Pickup;Bi-Weekly
1654;Express;Fortnightly
1229;Store Pickup;Weekly
3335;Free Shipping;Every 3 Months
3468;Next Day Air;Bi-Weekly
187;Free Shipping;Monthly
2476;Store Pickup;Quarterly
3276;Free Shipping;Fortnightly
1422;2-Day Shipping;Fortnightly
1577;Store Pickup;Every 3 Months
945;Next Day Air;Fortnightly
3546;Free Shipping;Annually
1950;Free Shipping;Bi-Weekly
768;2-Day Shipping;Fortnightly
3497;Express;Weekly
2310;Free Shipping;Monthly
2710;Store Pickup;Annually
1055;2-Day Shipping;Quarterly
2126;Store Pickup;Every 3 Months
1341;Express;Annually
418;2-Day Shipping;Bi-Weekly
2465;Express;Bi-Weekly
1026;Store Pickup;Annually
1087;Free Shipping;Every 3 Months
1107;2-Day Shipping;Every 3 Months
2660;Store Pickup;Every 3 Months
3006;Free Shipping;Fortnightly
22;2-Day Shipping;Monthly
1189;Free Shipping;Annually
549;2-Day Shipping;Quarterly
3347;Store Pickup;Monthly
2373;Standard;Bi-Weekly
3437;Standard;Every 3 Months
725;Free Shipping;Every 3 Months
2266;Free Shipping;Annually
99;Standard;Annually
3865;2-Day Shipping;Every 3 Months
915;Free Shipping;Monthly
1007;Free Shipping;Bi-Weekly
389;Next Day Air;Quarterly
2679;Free Shipping;Bi-Weekly
1249;Store Pickup;Annually
1062;Free Shipping;Monthly
3077;Next Day Air;Monthly
1944;Standard;Bi-Weekly
2949;Free Shipping;Every 3 Months
