Shippment_ID;Shipping_Type;Frequency_of_Purchases
1874;Next Day Air;Every 3 Months
1875;Free Shipping;Weekly
1876;Standard;Every 3 Months
1877;Free Shipping;Weekly
1878;Next Day Air;Annually
1879;2-Day Shipping;Every 3 Months
1880;Express;Monthly
1881;2-Day Shipping;Annually
1882;Store Pickup;Weekly
1883;Standard;Weekly
1884;Store Pickup;Weekly
1885;Standard;Bi-Weekly
1886;Free Shipping;Monthly
1887;Free Shipping;Quarterly
1888;Standard;Monthly
1889;2-Day Shipping;Every 3 Months
1890;Standard;Every 3 Months
1891;Standard;Annually
1892;2-Day Shipping;Annually
1893;Free Shipping;Weekly
1894;Standard;Weekly
1895;Free Shipping;Quarterly
1896;2-Day Shipping;Every 3 Months
1897;Store Pickup;Monthly
1898;Free Shipping;Fortnightly
1899;Store Pickup;Annually
1900;Free Shipping;Annually
1901;Store Pickup;Monthly
1902;Express;Fortnightly
1903;Store Pickup;Weekly
1904;Store Pickup;Fortnightly
1905;Free Shipping;Monthly
1906;Express;Every 3 Months
1907;Store Pickup;Bi-Weekly
1908;Free Shipping;Weekly
1909;Store Pickup;Annually
1910;Next Day Air;Weekly
1911;Express;Annually
1912;Store Pickup;Bi-Weekly
1913;Free Shipping;Annually
1914;Store Pickup;Fortnightly
1915;Express;Annually
1916;Store Pickup;Annually
1917;Store Pickup;Bi-Weekly
1918;Store Pickup;Fortnightly
1919;2-Day Shipping;Fortnightly
1920;Next Day Air;Annually
1921;Express;Bi-Weekly
1922;Store Pickup;Annually
1923;Free Shipping;Every 3 Months
1924;Free Shipping;Quarterly
1925;2-Day Shipping;Bi-Weekly
1926;Next Day Air;Monthly
1927;Next Day Air;Monthly
1928;2-Day Shipping;Weekly
1929;2-Day Shipping;Weekly
1930;Standard;Fortnightly
1931;Standard;Monthly
1932;Express;Bi-Weekly
1933;Free Shipping;Fortnightly
1934;2-Day Shipping;Every 3 Months
1935;Store Pickup;Fortnightly
1936;Standard;Weekly
1937;Standard;Fortnightly
1938;Store Pickup;Monthly
1939;Express;Annually
1940;Store Pickup;Monthly
1941;Standard;Weekly
1942;Next Day Air;Fortnightly
1943;2-Day Shipping;Monthly
1944;Standard;Bi-Weekly
1945;Store Pickup;Weekly
1946;Standard;Monthly
1947;Store Pickup;Every 3 Months
1948;Next Day Air;Quarterly
1949;Free Shipping;Annually
1950;Free Shipping;Bi-Weekly
1951;Express;Monthly
1952;Store Pickup;Fortnightly
1953;Standard;Annually
1954;Next Day Air;Annually
1955;2-Day Shipping;Every 3 Months
1956;Standard;Annually
1957;Express;Bi-Weekly
1958;Standard;Monthly
1959;Store Pickup;Weekly
1960;Free Shipping;Fortnightly
1961;Standard;Fortnightly
1962;2-Day Shipping;Monthly
1963;Standard;Quarterly
1964;Next Day Air;Annually
1965;2-Day Shipping;Annually
1966;Next Day Air;Fortnightly
1967;Free Shipping;Weekly
1968;Next Day Air;Bi-Weekly
1969;2-Day Shipping;Quarterly
1970;Free Shipping;Bi-Weekly
1971;Standard;Annually
1972;Free Shipping;Weekly
1973;Standard;Monthly
1974;Next Day Air;Fortnightly
1975;Next Day Air;Every 3 Months
1976;Store Pickup;Bi-Weekly
1977;Store Pickup;Monthly
1978;Express;Bi-Weekly
1979;2-Day Shipping;Bi-Weekly
1980;Next Day Air;Annually
1981;Next Day Air;Annually
1982;2-Day Shipping;Quarterly
1983;Free Shipping;Every 3 Months
1984;Standard;Weekly
1985;Store Pickup;Every 3 Months
1986;Free Shipping;Every 3 Months
1987;Free Shipping;Fortnightly
1988;Express;Bi-Weekly
1989;Next Day Air;Every 3 Months
1990;Express;Weekly
1991;Express;Weekly
1992;Next Day Air;Every 3 Months
1993;2-Day Shipping;Monthly
1994;Express;Monthly
1995;Next Day Air;Bi-Weekly
1996;Free Shipping;Monthly
1997;Free Shipping;Quarterly
1998;Store Pickup;Bi-Weekly
1999;Standard;Quarterly
2000;Standard;Annually
2001;Next Day Air;Bi-Weekly
2002;Express;Quarterly
2003;Free Shipping;Quarterly
2004;Free Shipping;Fortnightly
2005;Store Pickup;Quarterly
2006;Standard;Fortnightly
2007;Store Pickup;Bi-Weekly
2008;Next Day Air;Every 3 Months
2009;Express;Monthly
2010;Express;Annually
2011;2-Day Shipping;Weekly
2012;Store Pickup;Monthly
2013;2-Day Shipping;Annually
2014;Express;Fortnightly
2015;Store Pickup;Monthly
2016;Standard;Weekly
2017;Free Shipping;Fortnightly
2018;Standard;Quarterly
2019;Free Shipping;Bi-Weekly
2020;Free Shipping;Weekly
2021;2-Day Shipping;Quarterly
2022;2-Day Shipping;Quarterly
2023;2-Day Shipping;Weekly
2024;Express;Weekly
2025;Next Day Air;Every 3 Months
2026;Express;Every 3 Months
2027;Store Pickup;Weekly
2028;Store Pickup;Fortnightly
2029;Store Pickup;Every 3 Months
2030;Free Shipping;Annually
2031;Store Pickup;Annually
2032;2-Day Shipping;Bi-Weekly
2033;2-Day Shipping;Monthly
2034;2-Day Shipping;Monthly
2035;Next Day Air;Bi-Weekly
2036;Free Shipping;Every 3 Months
2037;Next Day Air;Quarterly
2038;Store Pickup;Weekly
2039;2-Day Shipping;Every 3 Months
2040;Express;Monthly
2041;Free Shipping;Annually
2042;Express;Monthly
2043;2-Day Shipping;Quarterly
2044;Standard;Quarterly
2045;Standard;Weekly
2046;Standard;Bi-Weekly
2047;Free Shipping;Every 3 Months
2048;Standard;Annually
2049;Express;Monthly
2050;Store Pickup;Annually
2051;Next Day Air;Quarterly
2052;Next Day Air;Annually
2053;Next Day Air;Weekly
2054;Standard;Bi-Weekly
2055;Express;Weekly
2056;Next Day Air;Weekly
2057;Standard;Every 3 Months
2058;Store Pickup;Annually
2059;Next Day Air;Bi-Weekly
2060;Express;Annually
2061;Store Pickup;Every 3 Months
2062;2-Day Shipping;Fortnightly
2063;2-Day Shipping;Weekly
2064;Standard;Monthly
2065;2-Day Shipping;Every 3 Months
2066;Next Day Air;Quarterly
2067;Store Pickup;Fortnightly
2068;2-Day Shipping;Every 3 Months
2069;Express;Annually
2070;Store Pickup;Every 3 Months
2071;Standard;Bi-Weekly
2072;Standard;Quarterly
2073;2-Day Shipping;Weekly
2074;2-Day Shipping;Monthly
2075;Store Pickup;Annually
2076;Free Shipping;Every 3 Months
2077;Free Shipping;Fortnightly
2078;Standard;Every 3 Months
2079;Next Day Air;Bi-Weekly
2080;2-Day Shipping;Quarterly
2081;Next Day Air;Bi-Weekly
2082;Standard;Every 3 Months
2083;Next Day Air;Annually
2084;Express;Quarterly
2085;Next Day Air;Monthly
2086;2-Day Shipping;Bi-Weekly
2087;Store Pickup;Annually
2088;Next Day Air;Every 3 Months
2089;Free Shipping;Annually
2090;Store Pickup;Every 3 Months
2091;Standard;Quarterly
2092;Store Pickup;Monthly
2093;2-Day Shipping;Fortnightly
2094;Free Shipping;Quarterly
2095;Store Pickup;Every 3 Months
2096;Express;Quarterly
2097;Express;Quarterly
2098;Free Shipping;Annually
2099;Next Day Air;Bi-Weekly
2100;2-Day Shipping;Quarterly
2101;2-Day Shipping;Weekly
2102;2-Day Shipping;Annually
2103;Store Pickup;Fortnightly
2104;Store Pickup;Bi-Weekly
2105;Store Pickup;Fortnightly
2106;Standard;Every 3 Months
2107;Express;Fortnightly
2108;Standard;Annually
2109;Store Pickup;Quarterly
2110;Next Day Air;Monthly
2111;2-Day Shipping;Every 3 Months
2112;Standard;Annually
2113;2-Day Shipping;Bi-Weekly
2114;Express;Every 3 Months
2115;2-Day Shipping;Bi-Weekly
2116;Express;Bi-Weekly
2117;Free Shipping;Weekly
2118;Standard;Fortnightly
2119;Free Shipping;Quarterly
2120;Free Shipping;Weekly
2121;Express;Every 3 Months
2122;Store Pickup;Weekly
2123;Express;Bi-Weekly
2124;2-Day Shipping;Weekly
2125;Store Pickup;Quarterly
2126;Store Pickup;Every 3 Months
2127;Express;Annually
2128;2-Day Shipping;Monthly
2129;Free Shipping;Weekly
2130;Standard;Every 3 Months
2131;Store Pickup;Monthly
2132;Standard;Quarterly
2133;Free Shipping;Annually
2134;Store Pickup;Fortnightly
2135;Standard;Annually
2136;Standard;Quarterly
2137;2-Day Shipping;Monthly
2138;Next Day Air;Every 3 Months
2139;2-Day Shipping;Monthly
2140;Free Shipping;Quarterly
2141;Free Shipping;Quarterly
2142;2-Day Shipping;Fortnightly
2143;Store Pickup;Fortnightly
2144;2-Day Shipping;Bi-Weekly
2145;Standard;Weekly
2146;Store Pickup;Weekly
2147;Next Day Air;Bi-Weekly
2148;Free Shipping;Weekly
2149;Store Pickup;Bi-Weekly
2150;2-Day Shipping;Annually
2151;Free Shipping;Weekly
2152;Express;Monthly
2153;2-Day Shipping;Every 3 Months
2154;Next Day Air;Annually
2155;Next Day Air;Every 3 Months
2156;Express;Weekly
2157;Next Day Air;Monthly
2158;Free Shipping;Monthly
2159;2-Day Shipping;Every 3 Months
2160;Next Day Air;Bi-Weekly
2161;Standard;Monthly
2162;Standard;Monthly
2163;2-Day Shipping;Annually
2164;Free Shipping;Weekly
2165;2-Day Shipping;Every 3 Months
2166;Free Shipping;Monthly
2167;Standard;Fortnightly
2168;Next Day Air;Every 3 Months
2169;Free Shipping;Weekly
2170;Free Shipping;Weekly
2171;Free Shipping;Weekly
2172;Store Pickup;Every 3 Months
2173;Next Day Air;Weekly
2174;Express;Every 3 Months
2175;Store Pickup;Quarterly
2176;Store Pickup;Every 3 Months
2177;Next Day Air;Annually
2178;Store Pickup;Fortnightly
2179;2-Day Shipping;Bi-Weekly
2180;2-Day Shipping;Annually
2181;Store Pickup;Quarterly
2182;Store Pickup;Monthly
2183;Store Pickup;Quarterly
2184;2-Day Shipping;Quarterly
2185;Express;Fortnightly
2186;Store Pickup;Fortnightly
2187;Standard;Weekly
2188;Express;Annually
2189;2-Day Shipping;Monthly
2190;2-Day Shipping;Quarterly
2191;Store Pickup;Monthly
2192;Next Day Air;Monthly
2193;Standard;Bi-Weekly
2194;Store Pickup;Monthly
2195;Express;Quarterly
2196;Next Day Air;Quarterly
2197;Store Pickup;Annually
2198;Store Pickup;Annually
2199;Free Shipping;Every 3 Months
2200;Next Day Air;Weekly
2201;Next Day Air;Quarterly
2202;Store Pickup;Quarterly
2203;Express;Monthly
2204;Express;Every 3 Months
2205;Next Day Air;Weekly
2206;Free Shipping;Monthly
2207;2-Day Shipping;Weekly
2208;2-Day Shipping;Bi-Weekly
2209;Free Shipping;Bi-Weekly
2210;Express;Weekly
2211;Standard;Annually
2212;Standard;Quarterly
2213;Store Pickup;Annually
2214;Store Pickup;Fortnightly
2215;Standard;Weekly
2216;Next Day Air;Monthly
2217;Standard;Monthly
2218;Free Shipping;Weekly
2219;Express;Bi-Weekly
2220;Standard;Monthly
2221;Free Shipping;Quarterly
2222;Express;Monthly
2223;Express;Fortnightly
2224;Next Day Air;Monthly
2225;2-Day Shipping;Weekly
2226;Store Pickup;Quarterly
2227;Store Pickup;Quarterly
2228;Free Shipping;Bi-Weekly
2229;Free Shipping;Quarterly
2230;Next Day Air;Bi-Weekly
2231;Express;Every 3 Months
2232;Free Shipping;Every 3 Months
2233;Free Shipping;Bi-Weekly
2234;Next Day Air;Every 3 Months
2235;Next Day Air;Monthly
2236;Express;Fortnightly
2237;Next Day Air;Weekly
2238;2-Day Shipping;Fortnightly
2239;Store Pickup;Annually
2240;Standard;Every 3 Months
2241;Store Pickup;Quarterly
2242;Standard;Weekly
2243;Next Day Air;Monthly
2244;2-Day Shipping;Bi-Weekly
2245;2-Day Shipping;Annually
2246;Express;Every 3 Months
2247;Express;Annually
2248;2-Day Shipping;Weekly
2249;Next Day Air;Quarterly
2250;2-Day Shipping;Every 3 Months
2251;Next Day Air;Every 3 Months
2252;Store Pickup;Fortnightly
2253;Free Shipping;Quarterly
2254;Standard;Annually
2255;2-Day Shipping;Monthly
2256;2-Day Shipping;Annually
2257;Next Day Air;Annually
2258;Free Shipping;Monthly
2259;Store Pickup;Quarterly
2260;Free Shipping;Bi-Weekly
2261;Next Day Air;Annually
2262;2-Day Shipping;Every 3 Months
2263;2-Day Shipping;Fortnightly
2264;Standard;Fortnightly
2265;Next Day Air;Weekly
2266;Free Shipping;Annually
2267;Express;Every 3 Months
2268;Express;Bi-Weekly
2269;Next Day Air;Quarterly
2270;Next Day Air;Quarterly
2271;Store Pickup;Fortnightly
2272;Standard;Quarterly
2273;2-Day Shipping;Bi-Weekly
2274;Free Shipping;Bi-Weekly
2275;Next Day Air;Bi-Weekly
2276;Free Shipping;Fortnightly
2277;Standard;Monthly
2278;Free Shipping;Quarterly
2279;2-Day Shipping;Weekly
2280;Store Pickup;Weekly
2281;Express;Fortnightly
2282;Express;Fortnightly
2283;Next Day Air;Quarterly
2284;Next Day Air;Monthly
2285;2-Day Shipping;Weekly
2286;Store Pickup;Annually
2287;Store Pickup;Weekly
2288;2-Day Shipping;Quarterly
2289;Standard;Fortnightly
2290;Standard;Monthly
2291;2-Day Shipping;Bi-Weekly
2292;Express;Weekly
2293;Standard;Bi-Weekly
2294;Next Day Air;Weekly
2295;2-Day Shipping;Weekly
2296;Free Shipping;Weekly
2297;2-Day Shipping;Monthly
2298;Free Shipping;Annually
2299;Express;Every 3 Months
2300;2-Day Shipping;Bi-Weekly
2301;Express;Quarterly
2302;Free Shipping;Bi-Weekly
2303;Store Pickup;Weekly
2304;Next Day Air;Quarterly
2305;Next Day Air;Fortnightly
2306;Next Day Air;Monthly
2307;Standard;Quarterly
2308;Express;Weekly
2309;Express;Every 3 Months
2310;Free Shipping;Monthly
2311;Standard;Quarterly
2312;Express;Monthly
2313;Express;Weekly
2314;Standard;Bi-Weekly
2315;Standard;Monthly
2316;Standard;Fortnightly
2317;Standard;Quarterly
2318;Free Shipping;Every 3 Months
2319;Express;Weekly
2320;Standard;Annually
2321;Express;Bi-Weekly
2322;Next Day Air;Weekly
2323;Express;Annually
2324;Free Shipping;Quarterly
2325;Free Shipping;Annually
2326;Standard;Monthly
2327;Standard;Bi-Weekly
2328;Free Shipping;Every 3 Months
2329;Next Day Air;Quarterly
2330;Next Day Air;Weekly
2331;Express;Weekly
2332;Free Shipping;Quarterly
2333;Express;Every 3 Months
2334;Express;Annually
2335;2-Day Shipping;Monthly
2336;Store Pickup;Quarterly
2337;Standard;Fortnightly
2338;2-Day Shipping;Weekly
2339;Next Day Air;Fortnightly
2340;Free Shipping;Fortnightly
2341;Standard;Fortnightly
2342;Next Day Air;Annually
2343;Store Pickup;Bi-Weekly
2344;Store Pickup;Quarterly
2345;Standard;Monthly
2346;Express;Bi-Weekly
2347;Next Day Air;Bi-Weekly
2348;2-Day Shipping;Monthly
2349;Next Day Air;Fortnightly
2350;Store Pickup;Annually
2351;Store Pickup;Monthly
2352;Express;Monthly
2353;Free Shipping;Bi-Weekly
2354;Free Shipping;Weekly
2355;Express;Monthly
2356;Next Day Air;Bi-Weekly
2357;Express;Annually
2358;Express;Weekly
2359;Store Pickup;Weekly
2360;Store Pickup;Fortnightly
2361;2-Day Shipping;Fortnightly
2362;Free Shipping;Bi-Weekly
2363;Express;Quarterly
2364;Standard;Weekly
2365;2-Day Shipping;Fortnightly
2366;Express;Monthly
2367;Next Day Air;Monthly
2368;Express;Every 3 Months
2369;Standard;Bi-Weekly
2370;Express;Every 3 Months
2371;Express;Weekly
2372;Next Day Air;Monthly
2373;Standard;Bi-Weekly
2374;Express;Bi-Weekly
2375;Express;Weekly
2376;Express;Annually
2377;Express;Quarterly
2378;Express;Weekly
2379;Next Day Air;Every 3 Months
2380;Standard;Fortnightly
2381;Store Pickup;Quarterly
2382;Free Shipping;Annually
2383;Store Pickup;Weekly
2384;Store Pickup;Bi-Weekly
2385;Free Shipping;Fortnightly
2386;Next Day Air;Monthly
2387;Standard;Annually
2388;Free Shipping;Annually
2389;Store Pickup;Fortnightly
2390;Express;Weekly
2391;Next Day Air;Monthly
2392;2-Day Shipping;Monthly
2393;Store Pickup;Annually
2394;2-Day Shipping;Annually
2395;2-Day Shipping;Every 3 Months
2396;Standard;Weekly
2397;Store Pickup;Bi-Weekly
2398;Store Pickup;Annually
2399;Store Pickup;Monthly
2400;Standard;Annually
2401;Express;Every 3 Months
2402;Standard;Bi-Weekly
2403;Next Day Air;Quarterly
2404;Next Day Air;Fortnightly
2405;Free Shipping;Fortnightly
2406;2-Day Shipping;Annually
2407;Store Pickup;Every 3 Months
2408;Store Pickup;Quarterly
2409;Express;Quarterly
2410;2-Day Shipping;Bi-Weekly
2411;Express;Quarterly
2412;Free Shipping;Weekly
2413;Standard;Bi-Weekly
2414;Express;Fortnightly
2415;Express;Annually
2416;2-Day Shipping;Bi-Weekly
2417;Store Pickup;Bi-Weekly
2418;Store Pickup;Bi-Weekly
2419;Store Pickup;Annually
2420;2-Day Shipping;Quarterly
2421;Store Pickup;Bi-Weekly
2422;Standard;Every 3 Months
2423;Free Shipping;Bi-Weekly
2424;Store Pickup;Quarterly
2425;Store Pickup;Monthly
2426;Free Shipping;Quarterly
2427;Express;Every 3 Months
2428;Free Shipping;Bi-Weekly
2429;Store Pickup;Every 3 Months
2430;Free Shipping;Monthly
2431;Free Shipping;Annually
2432;Express;Bi-Weekly
2433;2-Day Shipping;Every 3 Months
2434;Standard;Annually
2435;Free Shipping;Monthly
2436;Standard;Bi-Weekly
2437;Standard;Weekly
2438;Standard;Quarterly
2439;Standard;Annually
2440;Next Day Air;Weekly
2441;Free Shipping;Monthly
2442;2-Day Shipping;Quarterly
2443;2-Day Shipping;Fortnightly
2444;Store Pickup;Annually
2445;Next Day Air;Bi-Weekly
2446;Next Day Air;Fortnightly
2447;2-Day Shipping;Monthly
2448;Standard;Annually
2449;2-Day Shipping;Fortnightly
2450;Express;Every 3 Months
2451;Store Pickup;Fortnightly
2452;Free Shipping;Every 3 Months
2453;Store Pickup;Bi-Weekly
2454;Next Day Air;Weekly
2455;Free Shipping;Bi-Weekly
2456;Free Shipping;Quarterly
2457;2-Day Shipping;Monthly
2458;Next Day Air;Fortnightly
2459;Store Pickup;Every 3 Months
2460;Next Day Air;Annually
2461;Express;Bi-Weekly
2462;Store Pickup;Quarterly
2463;Standard;Every 3 Months
2464;Standard;Every 3 Months
2465;Express;Bi-Weekly
2466;Express;Fortnightly
2467;Express;Annually
2468;Free Shipping;Every 3 Months
2469;Express;Fortnightly
2470;2-Day Shipping;Quarterly
2471;Free Shipping;Quarterly
2472;Free Shipping;Bi-Weekly
2473;2-Day Shipping;Quarterly
2474;Standard;Fortnightly
2475;Store Pickup;Annually
2476;Store Pickup;Quarterly
2477;Standard;Monthly
2478;2-Day Shipping;Quarterly
2479;2-Day Shipping;Monthly
2480;2-Day Shipping;Monthly
2481;Free Shipping;Fortnightly
2482;Store Pickup;Quarterly
2483;Express;Annually
2484;Standard;Every 3 Months
2485;Standard;Quarterly
2486;Express;Bi-Weekly
2487;Free Shipping;Weekly
2488;Store Pickup;Fortnightly
2489;Store Pickup;Every 3 Months
2490;Free Shipping;Quarterly
2491;2-Day Shipping;Fortnightly
2492;Standard;Every 3 Months
2493;Standard;Monthly
2494;Free Shipping;Weekly
2495;Express;Bi-Weekly
2496;Next Day Air;Monthly
2497;Store Pickup;Quarterly
2498;Next Day Air;Bi-Weekly
2499;Next Day Air;Every 3 Months
2500;Standard;Bi-Weekly
2501;Free Shipping;Quarterly
2502;Next Day Air;Quarterly
2503;Next Day Air;Every 3 Months
2504;Express;Fortnightly
2505;Store Pickup;Monthly
2506;Store Pickup;Bi-Weekly
2507;Free Shipping;Fortnightly
2508;Express;Bi-Weekly
2509;Store Pickup;Weekly
2510;Next Day Air;Monthly
2511;Next Day Air;Fortnightly
2512;Express;Quarterly
2513;Store Pickup;Every 3 Months
2514;Store Pickup;Fortnightly
2515;Store Pickup;Annually
2516;2-Day Shipping;Annually
2517;Next Day Air;Every 3 Months
2518;Standard;Bi-Weekly
2519;2-Day Shipping;Every 3 Months
2520;Express;Every 3 Months
2521;Free Shipping;Annually
2522;2-Day Shipping;Quarterly
2523;Free Shipping;Annually
2524;2-Day Shipping;Bi-Weekly
2525;Store Pickup;Annually
2526;Next Day Air;Monthly
2527;Store Pickup;Quarterly
2528;Free Shipping;Every 3 Months
2529;Express;Fortnightly
2530;2-Day Shipping;Quarterly
2531;Express;Fortnightly
2532;Standard;Weekly
2533;Express;Quarterly
2534;2-Day Shipping;Bi-Weekly
2535;2-Day Shipping;Every 3 Months
2536;Express;Weekly
2537;Express;Every 3 Months
2538;Free Shipping;Monthly
2539;Next Day Air;Quarterly
2540;Next Day Air;Fortnightly
2541;Store Pickup;Quarterly
2542;Standard;Annually
2543;Store Pickup;Fortnightly
2544;Express;Every 3 Months
2545;Free Shipping;Fortnightly
2546;Next Day Air;Weekly
2547;Standard;Quarterly
2548;Free Shipping;Bi-Weekly
2549;Express;Quarterly
2550;Express;Monthly
2551;Next Day Air;Quarterly
2552;Free Shipping;Bi-Weekly
2553;Store Pickup;Bi-Weekly
2554;2-Day Shipping;Monthly
2555;Store Pickup;Quarterly
2556;Standard;Quarterly
2557;Free Shipping;Monthly
2558;Free Shipping;Every 3 Months
2559;Standard;Weekly
2560;Store Pickup;Monthly
2561;Store Pickup;Annually
2562;Store Pickup;Weekly
2563;Store Pickup;Monthly
2564;Store Pickup;Weekly
2565;Free Shipping;Annually
2566;Express;Annually
2567;Next Day Air;Weekly
2568;Free Shipping;Every 3 Months
2569;Standard;Fortnightly
2570;Express;Bi-Weekly
2571;Next Day Air;Monthly
2572;2-Day Shipping;Weekly
2573;2-Day Shipping;Every 3 Months
2574;Express;Every 3 Months
2575;Free Shipping;Every 3 Months
2576;Store Pickup;Every 3 Months
2577;Standard;Annually
2578;Next Day Air;Quarterly
2579;2-Day Shipping;Every 3 Months
2580;Free Shipping;Fortnightly
2581;Next Day Air;Quarterly
2582;Standard;Monthly
2583;Express;Monthly
2584;Store Pickup;Fortnightly
2585;Store Pickup;Bi-Weekly
2586;Standard;Fortnightly
2587;Express;Annually
2588;Next Day Air;Annually
2589;Standard;Weekly
2590;Express;Every 3 Months
2591;Standard;Weekly
2592;Standard;Annually
2593;Free Shipping;Fortnightly
2594;Next Day Air;Weekly
2595;Standard;Weekly
2596;Next Day Air;Bi-Weekly
2597;Next Day Air;Bi-Weekly
2598;Standard;Quarterly
2599;Store Pickup;Weekly
2600;Standard;Bi-Weekly
2601;Express;Annually
2602;2-Day Shipping;Fortnightly
2603;Standard;Every 3 Months
2604;Free Shipping;Every 3 Months
2605;Standard;Weekly
2606;Standard;Annually
2607;2-Day Shipping;Fortnightly
2608;Next Day Air;Every 3 Months
2609;Free Shipping;Fortnightly
2610;Store Pickup;Annually
2611;Store Pickup;Every 3 Months
2612;Store Pickup;Bi-Weekly
2613;Express;Weekly
2614;Standard;Weekly
2615;Free Shipping;Annually
2616;Standard;Quarterly
2617;Next Day Air;Fortnightly
2618;Store Pickup;Annually
2619;Store Pickup;Every 3 Months
2620;2-Day Shipping;Fortnightly
2621;Free Shipping;Monthly
2622;2-Day Shipping;Bi-Weekly
2623;Free Shipping;Monthly
2624;2-Day Shipping;Every 3 Months
2625;Standard;Monthly
2626;Express;Annually
2627;Free Shipping;Monthly
2628;Store Pickup;Quarterly
2629;Store Pickup;Monthly
2630;Next Day Air;Every 3 Months
2631;Store Pickup;Annually
2632;Standard;Quarterly
2633;Next Day Air;Every 3 Months
2634;Express;Every 3 Months
2635;2-Day Shipping;Weekly
2636;Express;Weekly
2637;Next Day Air;Bi-Weekly
2638;Standard;Fortnightly
2639;Standard;Bi-Weekly
2640;Free Shipping;Weekly
2641;Free Shipping;Fortnightly
2642;Next Day Air;Weekly
2643;Standard;Quarterly
2644;Express;Every 3 Months
2645;2-Day Shipping;Fortnightly
2646;Express;Quarterly
2647;Standard;Monthly
2648;Store Pickup;Every 3 Months
2649;Free Shipping;Bi-Weekly
2650;Next Day Air;Monthly
2651;Store Pickup;Weekly
2652;Free Shipping;Every 3 Months
2653;Store Pickup;Fortnightly
2654;Free Shipping;Bi-Weekly
2655;2-Day Shipping;Weekly
2656;2-Day Shipping;Every 3 Months
2657;Free Shipping;Fortnightly
2658;2-Day Shipping;Bi-Weekly
2659;Standard;Fortnightly
2660;Store Pickup;Every 3 Months
2661;Free Shipping;Quarterly
2662;Store Pickup;Every 3 Months
2663;Standard;Bi-Weekly
2664;Express;Annually
2665;Express;Weekly
2666;Free Shipping;Quarterly
2667;2-Day Shipping;Monthly
2668;Express;Monthly
2669;Store Pickup;Every 3 Months
2670;Next Day Air;Quarterly
2671;Free Shipping;Fortnightly
2672;Express;Annually
2673;Standard;Fortnightly
2674;Free Shipping;Annually
2675;Next Day Air;Fortnightly
2676;Standard;Bi-Weekly
2677;Store Pickup;Quarterly
2678;Next Day Air;Weekly
2679;Free Shipping;Bi-Weekly
2680;2-Day Shipping;Annually
2681;2-Day Shipping;Monthly
2682;Store Pickup;Fortnightly
2683;Next Day Air;Fortnightly
2684;Express;Annually
2685;Express;Every 3 Months
2686;2-Day Shipping;Quarterly
2687;2-Day Shipping;Weekly
2688;Store Pickup;Every 3 Months
2689;2-Day Shipping;Monthly
2690;Standard;Bi-Weekly
2691;Express;Monthly
2692;2-Day Shipping;Bi-Weekly
2693;Express;Quarterly
2694;Express;Quarterly
2695;Store Pickup;Quarterly
2696;2-Day Shipping;Monthly
2697;Express;Quarterly
2698;2-Day Shipping;Every 3 Months
2699;Store Pickup;Annually
2700;Store Pickup;Weekly
2701;Express;Bi-Weekly
2702;2-Day Shipping;Fortnightly
2703;Express;Monthly
2704;Next Day Air;Weekly
2705;Standard;Annually
2706;2-Day Shipping;Fortnightly
2707;Standard;Fortnightly
2708;Free Shipping;Quarterly
2709;Free Shipping;Fortnightly
2710;Store Pickup;Annually
2711;Store Pickup;Bi-Weekly
2712;Free Shipping;Monthly
2713;Standard;Annually
2714;Express;Fortnightly
2715;Store Pickup;Fortnightly
2716;Free Shipping;Fortnightly
2717;Free Shipping;Weekly
2718;2-Day Shipping;Bi-Weekly
2719;Next Day Air;Fortnightly
2720;2-Day Shipping;Every 3 Months
2721;Next Day Air;Monthly
2722;Express;Every 3 Months
2723;Standard;Annually
2724;Express;Bi-Weekly
2725;Express;Weekly
2726;Free Shipping;Weekly
2727;Next Day Air;Weekly
2728;2-Day Shipping;Every 3 Months
2729;Store Pickup;Fortnightly
2730;Free Shipping;Quarterly
2731;Free Shipping;Every 3 Months
2732;Standard;Fortnightly
2733;2-Day Shipping;Weekly
2734;Express;Fortnightly
2735;Express;Bi-Weekly
2736;Store Pickup;Weekly
2737;Express;Quarterly
2738;Free Shipping;Fortnightly
2739;Free Shipping;Weekly
2740;Next Day Air;Every 3 Months
2741;Next Day Air;Monthly
2742;Standard;Bi-Weekly
2743;Free Shipping;Every 3 Months
2744;Free Shipping;Weekly
2745;Express;Annually
2746;Next Day Air;Monthly
2747;Free Shipping;Every 3 Months
2748;Express;Every 3 Months
2749;Next Day Air;Every 3 Months
2750;2-Day Shipping;Annually
2751;Next Day Air;Weekly
2752;Free Shipping;Annually
2753;Express;Annually
2754;Store Pickup;Fortnightly
2755;Store Pickup;Quarterly
2756;2-Day Shipping;Bi-Weekly
2757;Free Shipping;Annually
2758;Express;Bi-Weekly
2759;Express;Fortnightly
2760;Standard;Monthly
2761;Store Pickup;Bi-Weekly
2762;Express;Quarterly
2763;Next Day Air;Fortnightly
2764;Express;Weekly
2765;Free Shipping;Annually
2766;2-Day Shipping;Every 3 Months
2767;2-Day Shipping;Monthly
2768;Store Pickup;Monthly
2769;Next Day Air;Monthly
2770;Free Shipping;Weekly
2771;Store Pickup;Quarterly
2772;2-Day Shipping;Monthly
2773;Express;Bi-Weekly
2774;Free Shipping;Every 3 Months
2775;Store Pickup;Annually
2776;Free Shipping;Monthly
2777;Standard;Quarterly
2778;Next Day Air;Monthly
